Departamento,Hecho Vistimizante,No.Victimas
Amazonas,Abandono o Despojo Forzado de Tierras,0
Amazonas,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",34
Amazonas,Amenaza,661
Amazonas,Confinamiento,0
Amazonas,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,14
Amazonas,Desaparición forzada,43
Amazonas,Desplazamiento Forzado,2898
Amazonas,"Homicidio, Masacre",214
Amazonas,Lesiones Personales Fisicas,2
Amazonas,Lesiones Personales Psicologicas,0
Amazonas,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",4
Amazonas,Perdida de Bienes Muebles o Inmuebles,46
Amazonas,SIN INFORMACION,0
Amazonas,Secuestro,20
Amazonas,Tortura,16
Amazonas,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",4
Antioquia,Abandono o Despojo Forzado de Tierras,0
Antioquia,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",9947
Antioquia,Amenaza,97713
Antioquia,Confinamiento,2
Antioquia,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,4292
Antioquia,Desaparición forzada,47242
Antioquia,Desplazamiento Forzado,1605790
Antioquia,"Homicidio, Masacre",335923
Antioquia,Lesiones Personales Fisicas,1336
Antioquia,Lesiones Personales Psicologicas,52
Antioquia,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",1309
Antioquia,Perdida de Bienes Muebles o Inmuebles,8493
Antioquia,SIN INFORMACION,32
Antioquia,Secuestro,6961
Antioquia,Tortura,2454
Antioquia,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",1010
Arauca,Abandono o Despojo Forzado de Tierras,0
Arauca,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",1504
Arauca,Amenaza,5186
Arauca,Confinamiento,0
Arauca,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,144
Arauca,Desaparición forzada,3567
Arauca,Desplazamiento Forzado,91702
Arauca,"Homicidio, Masacre",15690
Arauca,Lesiones Personales Fisicas,155
Arauca,Lesiones Personales Psicologicas,8
Arauca,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",122
Arauca,Perdida de Bienes Muebles o Inmuebles,920
Arauca,SIN INFORMACION,1
Arauca,Secuestro,288
Arauca,Tortura,134
Arauca,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",75
Atlántico,Abandono o Despojo Forzado de Tierras,0
Atlántico,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",983
Atlántico,Amenaza,4826
Atlántico,Confinamiento,0
Atlántico,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,1244
Atlántico,Desaparición forzada,3367
Atlántico,Desplazamiento Forzado,222769
Atlántico,"Homicidio, Masacre",18741
Atlántico,Lesiones Personales Fisicas,156
Atlántico,Lesiones Personales Psicologicas,13
Atlántico,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",41
Atlántico,Perdida de Bienes Muebles o Inmuebles,578
Atlántico,SIN INFORMACION,1
Atlántico,Secuestro,282
Atlántico,Tortura,290
Atlántico,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",30
Bogotá D.C.,Abandono o Despojo Forzado de Tierras,8504
Bogotá D.C.,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",5552
Bogotá D.C.,Amenaza,53444
Bogotá D.C.,Confinamiento,0
Bogotá D.C.,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,2841
Bogotá D.C.,Desaparición forzada,15602
Bogotá D.C.,Desplazamiento Forzado,658161
Bogotá D.C.,"Homicidio, Masacre",79908
Bogotá D.C.,Lesiones Personales Fisicas,720
Bogotá D.C.,Lesiones Personales Psicologicas,106
Bogotá D.C.,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",4837
Bogotá D.C.,Perdida de Bienes Muebles o Inmuebles,4183
Bogotá D.C.,SIN INFORMACION,817
Bogotá D.C.,Secuestro,2572
Bogotá D.C.,Tortura,1380
Bogotá D.C.,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",3706
Bolívar,Abandono o Despojo Forzado de Tierras,0
Bolívar,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",2490
Bolívar,Amenaza,15606
Bolívar,Confinamiento,0
Bolívar,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,1498
Bolívar,Desaparición forzada,2788
Bolívar,Desplazamiento Forzado,512780
Bolívar,"Homicidio, Masacre",19826
Bolívar,Lesiones Personales Fisicas,242
Bolívar,Lesiones Personales Psicologicas,10
Bolívar,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",129
Bolívar,Perdida de Bienes Muebles o Inmuebles,3427
Bolívar,SIN INFORMACION,0
Bolívar,Secuestro,1358
Bolívar,Tortura,227
Bolívar,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",60
Boyacá,Abandono o Despojo Forzado de Tierras,0
Boyacá,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",514
Boyacá,Amenaza,4603
Boyacá,Confinamiento,0
Boyacá,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,193
Boyacá,Desaparición forzada,1930
Boyacá,Desplazamiento Forzado,34372
Boyacá,"Homicidio, Masacre",8632
Boyacá,Lesiones Personales Fisicas,49
Boyacá,Lesiones Personales Psicologicas,3
Boyacá,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",74
Boyacá,Perdida de Bienes Muebles o Inmuebles,1191
Boyacá,SIN INFORMACION,0
Boyacá,Secuestro,276
Boyacá,Tortura,181
Boyacá,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",54
Caldas,Abandono o Despojo Forzado de Tierras,0
Caldas,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",1553
Caldas,Amenaza,5463
Caldas,Confinamiento,0
Caldas,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,261
Caldas,Desaparición forzada,2923
Caldas,Desplazamiento Forzado,118018
Caldas,"Homicidio, Masacre",20270
Caldas,Lesiones Personales Fisicas,76
Caldas,Lesiones Personales Psicologicas,4
Caldas,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",102
Caldas,Perdida de Bienes Muebles o Inmuebles,1942
Caldas,SIN INFORMACION,0
Caldas,Secuestro,457
Caldas,Tortura,118
Caldas,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",143
Caquetá,Abandono o Despojo Forzado de Tierras,0
Caquetá,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",2243
Caquetá,Amenaza,28821
Caquetá,Confinamiento,0
Caquetá,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,1124
Caquetá,Desaparición forzada,5572
Caquetá,Desplazamiento Forzado,218722
Caquetá,"Homicidio, Masacre",28026
Caquetá,Lesiones Personales Fisicas,257
Caquetá,Lesiones Personales Psicologicas,4
Caquetá,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",260
Caquetá,Perdida de Bienes Muebles o Inmuebles,5911
Caquetá,SIN INFORMACION,5
Caquetá,Secuestro,859
Caquetá,Tortura,506
